GLNo,Find
GL069515/19,TRUE
GL069695/19,TRUE
GL072058/20,TRUE
GL070521/19,TRUE
GL074550/20,TRUE
GL070272/19,TRUE
GL073208/20,TRUE
GL074618/20,TRUE
GL076141/21,TRUE
GL072661/20,TRUE
GL074415/20,TRUE
GL074769/20,TRUE
GL076265/21,TRUE
GL076137/21,TRUE
GL075439/20,TRUE
GL064622/18,TRUE
GL073723/20,TRUE
GL075049/20,TRUE
GL076156/21,TRUE
GL076210/21,TRUE
GL073796/20,TRUE
GL073537/20,TRUE
GL075632/21,TRUE
GL076119/21,TRUE
GL064481/18,TRUE
GL076256/21,TRUE
GL076116/21,TRUE
GL073454/20,TRUE
GL075917/21,TRUE
GL074143/20,TRUE
GL073819/20,TRUE
GL075929/21,TRUE
GL075948/21,TRUE
GL074950/20,TRUE
GL072681/20,TRUE
GL075900/21,TRUE
GL075913/21,TRUE
GL074079/20,TRUE
GL076063/21,TRUE
GL075976/21,TRUE
GL075041/20,TRUE
GL075829/21,TRUE
GL074103/20,TRUE
GL075821/21,TRUE
GL076258/21,TRUE
GL073981/20,TRUE
GL073193/20,TRUE
GL075039/20,TRUE
GL074373/20,TRUE
GL074146/20,TRUE
GL055755/17,TRUE
GL056283/17,TRUE
GL059886/18,TRUE
GL062088/18,TRUE
GL075645/21,TRUE
GL076264/21,TRUE
GL075009/20,TRUE
GL075970/21,TRUE
GL076331/21,TRUE
GL075987/21,TRUE
GL076291/21,TRUE
GL076162/21,TRUE
GL071377/19,TRUE
GL070591/19,TRUE
GL068194/19,TRUE
GL074804/20,TRUE
GL076247/21,TRUE
GL074456/20,TRUE
GL076237/21,TRUE
GL072645/20,TRUE
GL075380/20,TRUE
GL074112/20,TRUE
GL063396/18,TRUE
GL070185/19,TRUE
GL075189/20,TRUE
GL075916/21,TRUE
GL075191/20,TRUE
GL073966/20,TRUE
GL074253/20,TRUE
GL075315/20,TRUE
GL076110/21,TRUE
GL075709/21,TRUE
GL070017/19,TRUE
GL076072/21,TRUE
GL074116/20,TRUE
GL076315/21,TRUE
GL074215/20,TRUE
GL075167/20,TRUE
GL075605/21,TRUE
GL072364/20,TRUE
GL073860/20,TRUE
GL074019/20,TRUE
GL076023/21,TRUE
GL076010/21,TRUE
GL074809/20,TRUE
GL075358/20,TRUE
GL075625/21,TRUE
GL075488/20,TRUE
GL075853/21,TRUE
GL068770/19,TRUE
GL075696/21,TRUE
GL076044/21,TRUE
GL076143/21,TRUE
GL076083/21,TRUE
GL075245/20,TRUE
GL076353/21,TRUE
GL075205/20,TRUE
GL068216/19,TRUE
GL074865/20,TRUE
GL072910/20,TRUE
GL075741/21,TRUE
GL075553/20,TRUE
GL076012/21,TRUE
GL076089/21,TRUE
GL075947/21,TRUE
GL076285/21,TRUE
GL074978/20,TRUE
GL075502/20,TRUE
GL075259/20,TRUE
GL075302/20,TRUE
GL076240/21,TRUE
GL073315/20,TRUE
GL069592/19,TRUE
GL070494/19,TRUE
GL070838/19,TRUE
GL072127/20,TRUE
GL076225/21,TRUE
GL075586/21,TRUE
GL075764/21,TRUE
GL074871/20,TRUE
GL075753/21,TRUE
GL072226/20,TRUE
GL070471/19,TRUE
GL073120/20,TRUE
GL065857/19,TRUE
GL070563/19,TRUE
GL076189/21,TRUE
GL076349/21,TRUE
GL073405/20,TRUE
GL076407/21,TRUE
GL076371/21,TRUE
GL076404/21,TRUE
GL074840/20,TRUE
GL070977/19,TRUE
GL071988/20,TRUE
GL076079/21,TRUE
GL076229/21,TRUE
GL073980/20,TRUE
GL076220/21,TRUE
GL076348/21,TRUE
GL072609/20,TRUE
GL074353/20,TRUE
GL073589/20,TRUE
GL076392/21,TRUE
GL076373/21,TRUE
GL075904/21,TRUE
GL075876/21,TRUE
GL074546/20,TRUE
GL075785/21,TRUE
GL076245/21,TRUE
GL076296/21,TRUE
GL057787/17,TRUE
GL056935/17,TRUE
GL054563/17,TRUE
GL053587/17,TRUE
GL074094/20,TRUE
GL074836/20,TRUE
GL073357/20,TRUE
GL073791/20,TRUE
GL076002/21,TRUE
GL075720/21,TRUE
GL074870/20,TRUE
GL064460/18,TRUE
GL076060/21,TRUE
GL073285/20,TRUE
GL075068/20,TRUE
GL072062/20,TRUE
GL073987/20,TRUE
GL073940/20,TRUE
GL076081/21,TRUE
GL069102/19,TRUE
GL070306/19,TRUE
GL076126/21,TRUE
GL074560/20,TRUE
GL075236/20,TRUE
GL076261/21,TRUE
GL074811/20,TRUE
GL071293/19,TRUE
GL076420/21,TRUE
GL076099/21,TRUE
GL075420/20,TRUE
GL075083/20,TRUE
GL076446/21,TRUE
GL076366/21,TRUE
GL075737/21,TRUE
GL074726/20,TRUE
GL074624/20,TRUE
GL075767/21,TRUE
GL076181/21,TRUE
GL076140/21,TRUE
GL073290/20,TRUE
GL076298/21,TRUE
GL074175/20,TRUE
GL076088/21,TRUE
GL076459/21,TRUE
GL074459/20,TRUE
GL076146/21,TRUE
GL075180/20,TRUE
GL075551/20,TRUE
GL076300/21,TRUE
GL075643/21,TRUE
GL076423/21,TRUE
GL075791/21,TRUE
GL075765/21,TRUE
GL076159/21,TRUE
GL075465/20,TRUE
GL075655/21,TRUE
GL074513/20,TRUE
GL076034/21,TRUE
GL069947/19,TRUE
GL075895/21,TRUE
GL076486/21,TRUE
GL075334/20,TRUE
GL075333/20,TRUE
GL075977/21,TRUE
GL076445/21,TRUE
GL073833/20,TRUE
GL076515/21,TRUE
GL074986/20,TRUE
GL073477/20,TRUE
GL076451/21,TRUE
GL076129/21,TRUE
GL073751/20,TRUE
GL076509/21,TRUE
GL075648/21,TRUE
GL076473/21,TRUE
GL076290/21,TRUE
GL076395/21,TRUE
GL076325/21,TRUE
GL076326/21,TRUE
GL075363/20,TRUE
GL075592/21,TRUE
GL074092/20,TRUE
GL074371/20,TRUE
GL074246/20,TRUE
GL076255/21,TRUE
GL067417/19,TRUE
GL072081/20,TRUE
GL069714/19,TRUE
GL070855/19,TRUE
GL072082/20,TRUE
GL070573/19,TRUE
GL076339/21,TRUE
GL074402/20,TRUE
GL074317/20,TRUE
GL073172/20,TRUE
GL076085/21,TRUE
GL076311/21,TRUE
GL076095/21,TRUE
GL074120/20,TRUE
GL075589/21,TRUE
GL075187/20,TRUE
GL076196/21,TRUE
GL075953/21,TRUE
GL073904/20,TRUE
GL074229/20,TRUE
GL076443/21,TRUE
GL072469/20,TRUE
GL074350/20,TRUE
GL069271/19,TRUE
GL075243/20,TRUE
GL076372/21,TRUE
GL075818/21,TRUE
GL075775/21,TRUE
GL074906/20,TRUE
GL076094/21,TRUE
GL076438/21,TRUE
GL069468/19,TRUE
GL074596/20,TRUE
GL075881/21,TRUE
GL076004/21,TRUE
GL072970/20,TRUE
GL067067/19,TRUE
GL076447/21,TRUE
GL074936/20,TRUE
GL075032/20,TRUE
GL076542/21,TRUE
GL076362/21,TRUE
GL075309/20,TRUE
GL074589/20,TRUE
GL074984/20,TRUE
GL074962/20,TRUE
GL074095/20,TRUE
GL074011/20,TRUE
GL076375/21,TRUE
GL074135/20,TRUE
GL075129/20,TRUE
GL070235/19,TRUE
GL076413/21,TRUE
GL073549/20,TRUE
GL076557/21,TRUE
GL073868/20,TRUE
GL076564/21,TRUE
GL076548/21,TRUE
GL076559/21,TRUE
GL076482/21,TRUE
GL074224/20,TRUE
GL076582/21,TRUE
GL073581/20,TRUE
GL076380/21,TRUE
GL076508/21,TRUE
GL076299/21,TRUE
GL072188/20,TRUE
GL064591/18,TRUE
GL076475/21,TRUE
GL073545/20,TRUE
GL076418/21,TRUE
GL076561/21,TRUE
GL070966/19,TRUE
GL076517/21,TRUE
GL058850/18,TRUE
GL073646/20,TRUE
GL076336/21,TRUE
GL076022/21,TRUE
GL075397/20,TRUE
GL072914/20,TRUE
GL076628/21,TRUE
GL073729/20,TRUE
GL076500/21,TRUE
GL074535/20,TRUE
GL074469/20,TRUE
GL076267/21,TRUE
GL076637/21,TRUE
GL075472/20,TRUE
GL075938/21,TRUE
GL075942/21,TRUE
GL074025/20,TRUE
GL072115/20,TRUE
GL066671/19,TRUE
GL063547/18,TRUE
GL073188/20,TRUE
GL075340/20,TRUE
GL075307/20,TRUE
