GLNo,COBDate,FindPR,Sum of Princ Rec,Find,,,,,
GL060307/18,31032021,GL060307/18310320210,0,GL060307/18310320210,,,,,
GL060343/18,31032021,GL060343/18310320210,0,GL060343/18310320210,,,,,
GL060343/18,31032022,GL060343/1831032022,,#N/A,,,,,
GL060343/18,31032022,GL060343/18310320220,0,GL060343/18310320220,,,,,
GL060362/18,31032021,GL060362/18310320210,0,GL060362/18310320210,,,,,
GL060362/18,31032022,GL060362/1831032022,,#N/A,,,,,
GL060362/18,31032022,GL060362/18310320220,0,GL060362/18310320220,,,,,
GL060363/18,31032021,GL060363/18310320210,0,GL060363/18310320210,,,,,
GL060363/18,31032022,GL060363/1831032022,,#N/A,,,,,
GL060363/18,31032022,GL060363/18310320220,0,GL060363/18310320220,,,,,
GL060420/18,31032021,GL060420/18310320210,0,GL060420/18310320210,,,,,
GL060420/18,31032022,GL060420/1831032022,,#N/A,,,,,
GL060420/18,31032022,GL060420/18310320220,0,GL060420/18310320220,,,,,
GL060513/18,31032021,GL060513/1831032021146,146,GL060513/1831032021146,,,,,
GL060606/18,31032021,GL060606/18310320210,0,GL060606/18310320210,,,,,
GL060606/18,31032022,GL060606/1831032022,,#N/A,,,,,
GL060606/18,31032022,GL060606/18310320220,0,GL060606/18310320220,,,,,
GL060651/18,31032021,GL060651/18310320210,0,GL060651/18310320210,,,,,
GL060651/18,31032022,GL060651/1831032022,,#N/A,,,,,
GL060651/18,31032022,GL060651/18310320220,0,GL060651/18310320220,,,,,
GL060655/18,31032021,GL060655/1831032021188500,188500,GL060655/1831032021188500,,,,,
GL060655/18,31032022,GL060655/1831032022,,#N/A,,,,,
GL060655/18,31032022,GL060655/1831032022188500,188500,GL060655/1831032022188500,,,,,
GL060722/18,31032021,GL060722/18310320210,0,GL060722/18310320210,,,,,
GL060722/18,31032022,GL060722/1831032022,,#N/A,,,,,
GL060722/18,31032022,GL060722/18310320220,0,GL060722/18310320220,,,,,
GL060762/18,31032021,GL060762/18310320210,0,GL060762/18310320210,,,,,
GL060762/18,31032022,GL060762/1831032022,,#N/A,,,,,
GL060762/18,31032022,GL060762/18310320220,0,GL060762/18310320220,,,,,
GL060775/18,31032021,GL060775/18310320210,0,GL060775/18310320210,,,,,
GL060790/18,31032021,GL060790/18310320210,0,GL060790/18310320210,,,,,
GL060792/18,31032021,GL060792/18310320210,0,GL060792/18310320210,,,,,
GL060792/18,31032022,GL060792/1831032022,,#N/A,,,,,
GL060792/18,31032022,GL060792/18310320220,0,GL060792/18310320220,,,,,
GL060860/18,31032021,GL060860/18310320210,0,GL060860/18310320210,,,,,
GL060860/18,31032022,GL060860/1831032022,,#N/A,,,,,
GL060860/18,31032022,GL060860/18310320220,0,GL060860/18310320220,,,,,
GL060879/18,31032021,GL060879/18310320210,0,GL060879/18310320210,,,,,
GL060879/18,31032022,GL060879/1831032022,,#N/A,,,,,
GL060879/18,31032022,GL060879/18310320220,0,GL060879/18310320220,,,,,
GL060914/18,31032021,GL060914/18310320210,0,GL060914/18310320210,,,,,
GL060914/18,31032022,GL060914/1831032022,,#N/A,,,,,
GL060914/18,31032022,GL060914/18310320220,0,GL060914/18310320220,,,,,
GL060929/18,31032021,GL060929/1831032021962,962,GL060929/1831032021962,,,,,
GL061029/18,31032021,GL061029/18310320210,0,GL061029/18310320210,,,,,
GL061037/18,31032021,GL061037/18310320210,0,GL061037/18310320210,,,,,
GL061210/18,31032021,GL061210/18310320210,0,GL061210/18310320210,,,,,
GL061210/18,31032022,GL061210/1831032022,,#N/A,,,,,
GL061210/18,31032022,GL061210/18310320220,0,GL061210/18310320220,,,,,
GL061228/18,31032021,GL061228/18310320210,0,GL061228/18310320210,,,,,
GL061228/18,31032022,GL061228/1831032022,,#N/A,,,,,
GL061228/18,31032022,GL061228/18310320220,0,GL061228/18310320220,,,,,
GL061277/18,31032021,GL061277/18310320210,0,GL061277/18310320210,,,,,
GL061277/18,31032022,GL061277/1831032022,,#N/A,,,,,
GL061277/18,31032022,GL061277/18310320220,0,GL061277/18310320220,,,,,
GL061288/18,31032021,GL061288/18310320210,0,GL061288/18310320210,,,,,
GL061288/18,31032022,GL061288/1831032022,,#N/A,,,,,
GL061288/18,31032022,GL061288/18310320220,0,GL061288/18310320220,,,,,
GL061303/18,31032021,GL061303/1831032021229,229,GL061303/1831032021229,,,,,
GL061369/18,31032021,GL061369/18310320210,0,GL061369/18310320210,,,,,
GL061395/18,31032021,GL061395/18310320210,0,GL061395/18310320210,,,,,
GL061395/18,31032022,GL061395/1831032022,,#N/A,,,,,
GL061395/18,31032022,GL061395/18310320220,0,GL061395/18310320220,,,,,
GL061413/18,31032021,GL061413/18310320210,0,GL061413/18310320210,,,,,
GL061413/18,31032022,GL061413/1831032022,,#N/A,,,,,
GL061413/18,31032022,GL061413/18310320220,0,GL061413/18310320220,,,,,
GL061444/18,31032021,GL061444/18310320210,0,GL061444/18310320210,,,,,
GL061478/18,31032021,GL061478/18310320210,0,GL061478/18310320210,,,,,
GL061478/18,31032022,GL061478/1831032022,,#N/A,,,,,
GL061478/18,31032022,GL061478/18310320220,0,GL061478/18310320220,,,,,
GL061552/18,31032021,GL061552/18310320210,0,GL061552/18310320210,,,,,
GL061589/18,31032021,GL061589/18310320210,0,GL061589/18310320210,,,,,
GL061604/18,31032021,GL061604/18310320210,0,GL061604/18310320210,,,,,
GL061604/18,31032022,GL061604/1831032022,,#N/A,,,,,
GL061604/18,31032022,GL061604/18310320220,0,GL061604/18310320220,,,,,
GL061609/18,31032021,GL061609/18310320210,0,GL061609/18310320210,,,,,
GL061609/18,31032022,GL061609/1831032022,,#N/A,,,,,
GL061609/18,31032022,GL061609/18310320220,0,GL061609/18310320220,,,,,
GL061621/18,31032021,GL061621/18310320210,0,GL061621/18310320210,,,,,
GL061621/18,31032022,GL061621/1831032022,,#N/A,,,,,
GL061621/18,31032022,GL061621/18310320220,0,GL061621/18310320220,,,,,
GL061664/18,31032021,GL061664/18310320210,0,GL061664/18310320210,,,,,
